run_id,run_categories,span_id,span_index,span_type,status,raw_text
55,TRIVIAL+PROSE,1802,54,inline_math,PROSE,f_{min}
55,TRIVIAL+PROSE,1752,4,inline_math,TRIVIAL,a
57,TRIVIAL+PROSE,1902,49,inline_math,PROSE,f_{min}
57,TRIVIAL+PROSE,1857,4,inline_math,TRIVIAL,a
57,TRIVIAL+PROSE,1858,5,inline_math,TRIVIAL,z
57,TRIVIAL+PROSE,1872,19,inline_math,TRIVIAL,E
58,TRIVIAL+PROSE,1927,24,inline_math,PROSE,"
Substituting "
58,TRIVIAL+PROSE,1928,25,inline_math,PROSE, (where 
58,TRIVIAL+PROSE,1934,31,inline_math,PROSE,"
The equation becomes:
"
58,TRIVIAL+PROSE,1938,35,inline_math,PROSE,"
Integrating twice with respect to time:
"
58,TRIVIAL+PROSE,1944,41,inline_math,PROSE,"
Since "
58,TRIVIAL+PROSE,1949,46,inline_math,PROSE,"
Using "
58,TRIVIAL+PROSE,1966,63,inline_math,PROSE,f_{min}
58,TRIVIAL+PROSE,1929,26,inline_math,TRIVIAL,"):
"
58,TRIVIAL+PROSE,1945,42,inline_math,TRIVIAL,":
"
58,TRIVIAL+PROSE,1950,47,inline_math,TRIVIAL,":
"
62,TRIVIAL+PROSE,2072,53,inline_math,PROSE,f_{min}
62,TRIVIAL+PROSE,2053,34,inline_math,TRIVIAL,g
62,TRIVIAL+PROSE,2054,35,inline_math,TRIVIAL,L
62,TRIVIAL+PROSE,2058,39,inline_math,TRIVIAL,U
62,TRIVIAL+PROSE,2070,51,inline_math,TRIVIAL,g
62,TRIVIAL+PROSE,2071,52,inline_math,TRIVIAL,L
63,TRIVIAL+PROSE,2111,38,inline_math,PROSE,f_{min}
63,TRIVIAL+PROSE,2090,17,inline_math,TRIVIAL,g
63,TRIVIAL+PROSE,2091,18,inline_math,TRIVIAL,L
68,TRIVIAL+PROSE,2327,24,inline_math,PROSE,V_{eff}
68,TRIVIAL+PROSE,2316,13,inline_math,TRIVIAL,m
68,TRIVIAL+PROSE,2317,14,inline_math,TRIVIAL,g
68,TRIVIAL+PROSE,2318,15,inline_math,TRIVIAL,h
68,TRIVIAL+PROSE,2320,17,inline_math,TRIVIAL,a
69,TRIVIAL+PROSE,2348,17,inline_math,PROSE,f_{min}
69,TRIVIAL+PROSE,2340,9,inline_math,TRIVIAL,y
69,TRIVIAL+PROSE,2343,12,inline_math,TRIVIAL,m
69,TRIVIAL+PROSE,2344,13,inline_math,TRIVIAL,g
69,TRIVIAL+PROSE,2345,14,inline_math,TRIVIAL,L
79,TRIVIAL+PROSE,2563,16,inline_math,PROSE,"
Since the axis is nearly horizontal, the magnitude of the torque is "
79,TRIVIAL+PROSE,2564,17,inline_math,PROSE, (for 
79,TRIVIAL+PROSE,2572,25,inline_math,PROSE,"
Substituting "
79,TRIVIAL+PROSE,2573,26,inline_math,PROSE, and 
79,TRIVIAL+PROSE,2576,29,inline_math,PROSE,"
Dividing by "
79,TRIVIAL+PROSE,2577,30,inline_math,PROSE, (assuming 
79,TRIVIAL+PROSE,2574,27,inline_math,TRIVIAL,":
"
79,TRIVIAL+PROSE,2578,31,inline_math,TRIVIAL,"):
"
79,TRIVIAL+PROSE,2581,34,inline_math,TRIVIAL,T
79,TRIVIAL+PROSE,2591,44,inline_math,TRIVIAL,T
98,TRIVIAL+PROSE,3103,17,inline_math,PROSE,t_H
98,TRIVIAL+PROSE,3112,26,inline_math,TRIVIAL,H
123,TRIVIAL+PROSE,3662,15,inline_math,PROSE,n(z)
123,TRIVIAL+PROSE,3659,12,inline_math,TRIVIAL,a
123,TRIVIAL+PROSE,3664,17,inline_math,TRIVIAL,a
136,TRIVIAL+PROSE,3915,32,inline_math,PROSE,T_{GH}
136,TRIVIAL+PROSE,3903,20,inline_math,TRIVIAL,N
136,TRIVIAL+PROSE,3906,23,inline_math,TRIVIAL,a
136,TRIVIAL+PROSE,3909,26,inline_math,TRIVIAL,N
138,TRIVIAL+PROSE,3971,30,inline_math,PROSE,T_{GH}
138,TRIVIAL+PROSE,3945,4,inline_math,TRIVIAL,H
138,TRIVIAL+PROSE,3961,20,inline_math,TRIVIAL,N
139,TRIVIAL+PROSE,3987,15,inline_math,PROSE,T_{GH}
139,TRIVIAL+PROSE,3995,23,inline_math,PROSE,T_{GH}
139,TRIVIAL+PROSE,3977,5,inline_math,TRIVIAL,H
139,TRIVIAL+PROSE,3989,17,inline_math,TRIVIAL,N
139,TRIVIAL+PROSE,3991,19,inline_math,TRIVIAL,a
140,TRIVIAL+PROSE,4020,25,inline_math,PROSE,T_{GH}
140,TRIVIAL+PROSE,4000,5,inline_math,TRIVIAL,H
140,TRIVIAL+PROSE,4004,9,inline_math,TRIVIAL,r
140,TRIVIAL+PROSE,4006,11,inline_math,TRIVIAL,r
140,TRIVIAL+PROSE,4023,28,inline_math,TRIVIAL,N
140,TRIVIAL+PROSE,4024,29,inline_math,TRIVIAL,N
145,TRIVIAL+PROSE,4454,19,inline_math,PROSE,k_B
145,TRIVIAL+PROSE,4458,23,inline_math,PROSE,T_{GH}
145,TRIVIAL+PROSE,4461,26,inline_math,PROSE,T_{GH} < T_{CMB}
145,TRIVIAL+PROSE,4463,28,inline_math,PROSE,T_{GH}
145,TRIVIAL+PROSE,4438,3,inline_math,TRIVIAL,H
145,TRIVIAL+PROSE,4441,6,inline_math,TRIVIAL,H
145,TRIVIAL+PROSE,4453,18,inline_math,TRIVIAL,H
146,TRIVIAL+PROSE,4490,24,inline_math,PROSE,T_{GH}
146,TRIVIAL+PROSE,4492,26,inline_math,PROSE,T_{GH}
146,TRIVIAL+PROSE,4478,12,inline_math,TRIVIAL,H
146,TRIVIAL+PROSE,4481,15,inline_math,TRIVIAL,c
146,TRIVIAL+PROSE,4495,29,inline_math,TRIVIAL,a
146,TRIVIAL+PROSE,4496,30,inline_math,TRIVIAL,N
146,TRIVIAL+PROSE,4498,32,inline_math,TRIVIAL,N
150,TRIVIAL+PROSE,4567,16,inline_math,PROSE,T_{GH}
150,TRIVIAL+PROSE,4565,14,inline_math,TRIVIAL,N
151,TRIVIAL+PROSE,4583,16,inline_math,PROSE,T_{GH}
151,TRIVIAL+PROSE,4585,18,inline_math,PROSE,T_{GH}
151,TRIVIAL+PROSE,4582,15,inline_math,TRIVIAL,a
157,TRIVIAL+PROSE,4696,13,inline_math,PROSE,d_L
157,TRIVIAL+PROSE,4704,21,inline_math,PROSE,d_L
157,TRIVIAL+PROSE,4690,7,inline_math,TRIVIAL,c
158,TRIVIAL+PROSE,4726,13,inline_math,PROSE,d_L
158,TRIVIAL+PROSE,4734,21,inline_math,PROSE,d_L
158,TRIVIAL+PROSE,4742,29,inline_math,PROSE,d_L
158,TRIVIAL+PROSE,4743,30,inline_math,PROSE,d_L
158,TRIVIAL+PROSE,4720,7,inline_math,TRIVIAL,c
159,TRIVIAL+PROSE,4759,13,inline_math,PROSE,d_L
159,TRIVIAL+PROSE,4767,21,inline_math,PROSE,d_L
159,TRIVIAL+PROSE,4753,7,inline_math,TRIVIAL,c
161,TRIVIAL+PROSE,4819,14,inline_math,PROSE,"
For a redshift "
161,TRIVIAL+PROSE,4828,23,inline_math,PROSE,"
The correction term is:
"
161,TRIVIAL+PROSE,4830,25,inline_math,PROSE,"
Calculating "
161,TRIVIAL+PROSE,4837,32,inline_math,PROSE,"
The correction term is:
"
161,TRIVIAL+PROSE,4839,34,inline_math,PROSE,"
Calculating "
161,TRIVIAL+PROSE,4845,40,inline_math,PROSE,"
The "
161,TRIVIAL+PROSE,4846,41,inline_math,PROSE,CDM model predicts a larger luminosity distance for the same redshift. This is because a negative 
161,TRIVIAL+PROSE,4847,42,inline_math,PROSE, (acceleration) pushes the object further away compared to a positive 
