run_name,run_id,scenario_id,model_name,deterministic_match_count,deterministic_mismatch_count,deterministic_not_found_count,deterministic_review_count,reference_text_hash,candidate_text_hash,bertscore_precision,bertscore_recall,bertscore_f1,bertscore_model,rescale_with_baseline
pre_structured_prompt_usable_full_v1,1,CM_APSIDAL_001,Gemma 3 12B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,537ac38cc81315cf350116a6feb592ae585a99f7182df88edda7bbb0bd2541e7,-0.10924582928419113,0.09201997518539429,-0.009021522477269173,unknown,1
pre_structured_prompt_usable_full_v1,2,CM_APSIDAL_001,Gemma 3 12B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,a59edb8035c361a3cf328a9f71a38f6ef9b2fd08f7e50f940f9bb1d597f77921,-0.1731070876121521,0.05981266871094704,-0.05770030990242958,unknown,1
pre_structured_prompt_usable_full_v1,3,CM_APSIDAL_001,Gemma 3 12B IT,3,1,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,625bfbe795f79d628ce8a0f3d22f4f65bd379653259de6dcad5058655103ec2c,-0.1739719957113266,0.06373865157365799,-0.05628695338964462,unknown,1
pre_structured_prompt_usable_full_v1,4,CM_APSIDAL_001,Gemma 3 12B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,2b706aec29f5e0a17fc99c602771cfc6ecdf9aba59c85365b8fc04feb5a07672,-0.17235112190246582,0.0647909864783287,-0.054937876760959625,unknown,1
pre_structured_prompt_usable_full_v1,5,CM_APSIDAL_001,Gemma 3 27B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,5db0a9a6c943fce3bb46ab00d39bbdde8063ddfbe501288b24aa62597ec32c63,-0.15549002587795258,0.06836289167404175,-0.044419653713703156,unknown,1
pre_structured_prompt_usable_full_v1,6,CM_APSIDAL_001,Gemma 3 27B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,4b093e34ed2d178e90688096b231d39c5aa9e57a0ee418507b62c509d001a04e,-0.14392562210559845,0.09829893708229065,-0.024126965552568436,unknown,1
pre_structured_prompt_usable_full_v1,7,CM_APSIDAL_001,Gemma 4 31B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,8b20ca3e68ed93cfe1e5d3815fd9c41ae23839f0c59daa981f13138993a16642,-0.2885371446609497,0.0047172680497169495,-0.14452588558197021,unknown,1
pre_structured_prompt_usable_full_v1,8,CM_APSIDAL_001,Gemma 4 31B IT,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,afcf77c03e20d9342fe27a56694045c050cd616b2598fbfc81f0dba19ad621b3,-0.24137604236602783,0.003168662777170539,-0.12037878483533859,unknown,1
pre_structured_prompt_usable_full_v1,9,CM_APSIDAL_001,Granite 4.1 8B,3,1,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,c96fdafa81b54b2d071ecdb43576ce838c0c9f72ca75469394489b62a363d69f,-0.3539177477359772,-0.0957057848572731,-0.22634820640087128,unknown,1
pre_structured_prompt_usable_full_v1,10,CM_APSIDAL_001,Granite 4.1 8B,4,0,0,0,443545996b329d03307fa0bc9cfdbd7c0add38f065253a45823ad348a8f6cdbe,a6a595478c74089877d9b9121f8009fcbf973652de99f250e2f3bb9af3db16fe,-0.342684805393219,-0.09455441683530807,-0.2198917120695114,unknown,1
